City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Samarai,PG,81.63,scattered clouds,-10.6167,150.6667,Nuli Sapi
125,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
127,Guane,CU,78.1,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
128,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
131,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
133,Marrakesh,MA,78.87,few clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
135,Pacific Grove,US,65.88,clear sky,36.6177,-121.9166,Lovers Point Inn
137,Santarem,BR,77.13,broken clouds,-2.4431,-54.7083,Hotel Imperador
142,San Jose,US,81.68,few clouds,37.3394,-121.895,The Westin San Jose
145,Harper,LR,73.9,overcast clouds,4.375,-7.7169,Screensaver
148,Mumford,GH,73.99,scattered clouds,5.2618,-0.759,Spanish Villa
149,Kurchum,KZ,73.4,clear sky,48.5722,83.6542,"""Kneda"" Hotel"
150,Brownsville,US,84.15,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
151,Yulara,AU,71.74,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
152,Liverpool,GB,76.28,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
154,Ambulu,ID,83.39,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
156,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
157,Aden,YE,83.07,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
159,Dingle,PH,81.68,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
160,Zaraza,VE,72.77,scattered clouds,9.3503,-65.3245,Hotel Zaraza
162,Jamestown,US,71.19,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
164,Coloso,CO,76.51,overcast clouds,9.4915,-75.3615,CALLE LAS FLORES COLOSO
165,Northam,GB,69.26,broken clouds,51.0333,-4.2167,Durrant House Hotel
167,Kefamenanu,ID,79.48,broken clouds,-9.4467,124.4781,Sokowindo Losmen
168,Cairns,AU,81.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
170,Benemerito De Las Americas,MX,73.33,overcast clouds,16.5167,-90.6439,Residencia Univeresitaria
173,Ponta Do Sol,PT,68.72,clear sky,32.6667,-17.1,Hotel do Campo
176,Havre,FR,82.17,clear sky,49.5833,0.3333,gite bois jourdain
177,Emerald,AU,71.35,clear sky,-23.5333,148.1667,The Irish Village
178,Portobelo,PA,80.11,broken clouds,9.55,-79.65,Scuba Portobelo
179,Mandalgovi,MN,82.65,overcast clouds,45.7625,106.2708,В.Ганбат
