City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Dhidhdhoo,MV,6.8833,73.1,82.13,80,100,16.31,overcast clouds
279,Rock Sound,BS,24.9,-76.2,81.75,76,2,15.03,clear sky
280,Thompson,CA,55.7435,-97.8558,69.96,64,40,2.3,scattered clouds
281,Whitehorse,CA,60.7161,-135.0538,57.97,67,75,4.61,broken clouds
282,Maple Creek,CA,49.9168,-109.4848,60.85,51,71,13.8,broken clouds
283,Sidi Ali,DZ,36.0998,0.4206,72.82,82,0,1.43,clear sky
284,Sioux Lookout,CA,50.1001,-91.917,71.67,68,20,3.44,smoke
285,Waipawa,NZ,-41.4122,175.5153,57.04,67,92,9.64,light rain
286,Jiblah,YE,13.9216,44.1467,69.19,44,100,4.79,overcast clouds
287,Fort Nelson,CA,58.8053,-122.7002,63.99,82,75,5.75,broken clouds
288,Lata,PT,40.1629,-8.3327,61.11,92,59,1.01,broken clouds
289,Zhezkazgan,KZ,47.8043,67.7144,76.98,44,0,13.42,clear sky
290,Cidreira,BR,-30.1811,-50.2056,53.87,92,9,5.59,light rain
291,Tomatlan,MX,19.9333,-105.25,77.95,85,82,1.21,broken clouds
292,Atikokan,CA,48.7555,-91.6216,65.03,95,38,3.56,scattered clouds
293,Goderich,CA,43.7501,-81.7165,70.12,64,0,4.61,clear sky
294,Grindavik,IS,63.8424,-22.4338,51.75,100,100,9.22,light intensity drizzle
295,Senanga,ZM,-16.1167,23.2667,46.11,75,0,5.17,clear sky
296,George,ZA,-33.963,22.4617,53.15,100,100,3.44,overcast clouds
297,Muriti,TZ,-1.9833,32.9167,69.73,65,93,19.24,overcast clouds
298,Bayshore Gardens,US,27.4253,-82.5904,84.99,71,92,5.79,overcast clouds
299,Boa Vista,BR,2.8197,-60.6733,78.78,83,75,2.3,broken clouds
300,Tondano,ID,1.3038,124.9112,78.89,59,96,5.01,overcast clouds
301,Tuatapere,NZ,-46.1333,167.6833,45.23,85,100,7.9,overcast clouds
302,Avanigadda,IN,16.0215,80.9181,88.63,60,71,5.95,broken clouds
303,Varva,UA,50.495,32.7197,57.6,76,35,4.79,scattered clouds
304,Khani,GE,41.9563,42.9566,62.17,96,100,1.61,overcast clouds
305,Lincoln,US,40.8,-96.667,79.14,81,0,11.5,clear sky
306,Pangai,TO,-19.8,-174.35,75.31,94,75,19.57,light intensity shower rain
307,Aksu,CN,41.1231,80.2644,90.57,16,4,13.58,clear sky
308,Swift Current,CA,50.2834,-107.8014,63.41,94,40,6.91,scattered clouds
309,Ewo,CG,-0.8725,14.8206,75.33,73,99,5.01,light rain
310,Tarare,FR,45.8976,4.4327,71.62,73,38,2.06,scattered clouds
311,Dongsheng,CN,39.8161,109.9776,73.49,33,100,13.44,overcast clouds
312,Kavaratti,IN,10.5669,72.642,80.76,80,100,21.68,overcast clouds
313,Benguela,AO,-12.5763,13.4055,66.63,88,1,1.12,clear sky
314,Moose Factory,CA,51.2585,-80.6094,62.6,94,0,11.5,clear sky
315,Ambovombe,MG,-25.1667,46.0833,61.88,82,0,8.5,clear sky
316,Saint-Georges,GD,12.0564,-61.7485,79.61,80,12,15.32,few clouds
317,Kati,ML,12.7441,-8.0726,74.61,89,42,6.06,scattered clouds
318,Gazli,UZ,40.1333,63.45,94.26,21,0,28.43,clear sky
319,Belmonte,BR,-15.8631,-38.8828,71.49,84,54,6.98,broken clouds
320,Rio Novo,BR,-21.4575,-43.1253,63.05,89,63,1.7,broken clouds
321,Rylsk,RU,51.5655,34.6822,54.97,87,13,6.2,few clouds
322,Middelburg,ZA,-25.7751,29.4648,45.54,72,0,2.57,clear sky
323,Liseleje,DK,56.0053,11.9483,60.19,90,6,3.0,clear sky
324,Kavieng,PG,-2.5744,150.7967,82.76,75,100,9.98,light rain
325,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,77,100,4.61,overcast clouds
326,Ta Khmau,KH,11.4833,104.95,87.85,70,40,6.91,scattered clouds
327,Elmira,US,42.0898,-76.8077,73.72,85,75,9.22,broken clouds
328,Berlevag,NO,70.8578,29.0864,60.6,79,84,6.06,broken clouds
329,Novyy Urgal,RU,51.0736,132.5642,63.59,83,100,6.93,light rain
330,Ola,RU,59.5833,151.2833,75.15,86,100,10.94,overcast clouds
331,Guerrero Negro,MX,27.9769,-114.0611,70.84,73,48,15.35,scattered clouds
332,Nanakuli,US,21.3906,-158.1547,80.55,65,100,11.5,overcast clouds
333,Clyde River,CA,70.4692,-68.5914,35.83,100,100,5.75,mist
334,Viseu,PT,40.661,-7.9097,63.86,85,71,2.68,broken clouds
335,Nur,PL,52.6683,22.3221,61.39,84,99,4.38,overcast clouds
336,Gimli,CA,50.6336,-96.9907,78.82,69,74,13.8,broken clouds
337,Mazagao,BR,-0.115,-51.2894,75.25,96,82,3.29,broken clouds
338,Sarangani,PH,5.4033,125.4636,82.65,69,99,1.88,light rain
339,Teguise,ES,29.0605,-13.564,68.22,83,0,24.16,clear sky
340,Talnakh,RU,69.4865,88.3972,65.21,37,61,16.78,broken clouds
341,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,49,0,33.38,clear sky
342,Zeya,RU,53.75,127.2667,76.08,71,100,0.92,light rain
343,Bom Sucesso,BR,-21.0331,-44.7581,55.33,77,13,4.72,few clouds
344,Meulaboh,ID,4.1363,96.1285,83.08,65,89,2.8,overcast clouds
345,Half Moon Bay,US,37.4636,-122.4286,73.31,85,0,16.11,mist
346,Marovoay,MG,-16.1,46.6333,64.62,69,1,5.66,clear sky
347,Mana,GF,5.6592,-53.7767,77.14,90,100,7.58,overcast clouds
